Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TCL","Crops and livestock products","144","Sri Lanka","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","377","E","Estimated value"
"TCL","Crops and livestock products","144","Sri Lanka","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","176","E","Estimated value"
"TCL","Crops and livestock products","144","Sri Lanka","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","1555","E","Estimated value"
"TCL","Crops and livestock products","752","Sweden","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","106750","E","Estimated value"
"TCL","Crops and livestock products","752","Sweden","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","97667","E","Estimated value"
"TCL","Crops and livestock products","752","Sweden","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","183141","E","Estimated value"
"TCL","Crops and livestock products","752","Sweden","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","14331","E","Estimated value"
"TCL","Crops and livestock products","756","Switzerland","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","27379","E","Estimated value"
"TCL","Crops and livestock products","756","Switzerland","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","48047","E","Estimated value"
"TCL","Crops and livestock products","756","Switzerland","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","17645","E","Estimated value"
"TCL","Crops and livestock products","756","Switzerland","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","12376","E","Estimated value"
"TCL","Crops and livestock products","764","Thailand","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","36175","E","Estimated value"
"TCL","Crops and livestock products","764","Thailand","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","2908","E","Estimated value"
"TCL","Crops and livestock products","764","Thailand","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","30747","E","Estimated value"
"TCL","Crops and livestock products","764","Thailand","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","6798","E","Estimated value"
"TCL","Crops and livestock products","784","United Arab Emirates","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","309380","E","Estimated value"
"TCL","Crops and livestock products","784","United Arab Emirates","5610","Import Quantity","F2074","Poultry Meat","2019","2019","tonnes","698551","E","Estimated value"
"TCL","Crops and livestock products","784","United Arab Emirates","5610","Import Quantity","F2073","Pigmeat","2019","2019","tonnes","18491","E","Estimated value"
"TCL","Crops and livestock products","784","United Arab Emirates","5610","Import Quantity","F2076","Other Meat","2019","2019","tonnes","63975","E","Estimated value"
"TCL","Crops and livestock products","826","United Kingdom of Great Britain and Northern Ireland","5610","Import Quantity","F2071","Bovine Meat","2019","2019","tonnes","386001","E","Estimated value"
